tempC_avg(0C),Relative humidity_avg(%),windspeedKmph_avg(Km/h),pressureMB_avg,precipMM_avg(mm),weatherDesc,Sunshine Hours,%_soil_moisure,Type of Disease (Bacterial Blight/Telya),Anthracnose,Fruit Spot/ Rot,Fusarium Wilt,Fruit Borer / Blight Blora
26,47,12,1012,0.0,5,9.7,40,0,0,0,0,0
26,54,9,1012,0.0,4,9.6,44,1,1,0,0,0
33,29,11,1007,0.0,5,10.4,34,0,0,0,0,0
25,82,11,1007,0.4,3,5.4,60,1,0,1,0,1
25,63,5,1013,0.0999999999999999,3,9.7,50,1,1,0,0,0
29,29,12,1011,0.0,5,10.7,33,0,0,0,0,0
26,68,7,1010,0.0,5,9.1,45,0,0,0,0,0
31,39,20,1007,0.0,4,10.4,35,1,0,0,0,0
25,79,13,1004,0.0666666666666666,3,3.8,55,1,1,0,0,0
26,82,8,1006,0.2,3,5.4,55,1,0,0,0,1
25,39,7,1011,0.0,5,9.6,42,0,0,0,0,0
22,25,8,1015,0.0,5,9.8,40,0,0,0,0,0
30,44,15,1006,0.0,5,10.4,31,0,0,0,0,0
25,80,18,1009,0.0333333333333333,3,3.8,50,1,1,0,0,1
33,15,7,1006,0.0,5,10.7,35,0,0,0,0,0
26,79,9,1003,0.33333333333333304,3,3.9,55,1,1,0,0,0
22,95,13,1000,0.6666666666666661,1,3.8,67,0,0,1,1,0
24,28,11,1013,0.0,4,10.1,40,0,0,0,0,0
25,80,17,1008,0.0333333333333333,3,3.9,60,1,1,0,0,1
32,27,12,1009,0.0,5,11.2,31,0,0,0,0,0
28,70,11,1007,0.6666666666666661,1,6.2,50,1,1,0,0,0
25,71,7,1012,0.3,3,9.7,60,1,1,0,0,0
30,20,9,1009,0.0,5,10.7,30,0,0,0,0,0
24,27,9,1012,0.0,5,9.8,43,0,0,0,0,0
26,86,4,1004,0.46666666666666606,1,3.9,65,1,0,1,0,1
28,49,6,1011,0.0,4,9.1,50,1,0,0,0,0
25,30,4,1012,0.0,5,9.7,41,0,0,0,0,0
28,67,17,1004,1.56666666666666,1,6.2,62,1,1,0,0,0
24,66,16,1008,0.0333333333333333,3,9.7,50,0,0,0,0,0
29,63,17,1001,0.133333333333333,3,6.2,48,1,1,0,0,0
34,27,8,1009,0.0666666666666666,5,11.2,30,0,0,0,0,0
23,87,20,1003,0.4,3,3.8,50,0,0,0,0,1
25,72,26,1005,0.0333333333333333,3,3.8,45,1,1,0,0,0
25,79,22,1003,0.0666666666666666,3,3.8,50,1,1,0,0,0
26,28,5,1009,0.0,5,10.1,44,0,0,0,0,0
30,26,9,1008,0.0,5,10.7,35,0,0,0,0,0
24,53,11,1011,0.0,4,9.8,40,0,0,0,0,0
26,84,7,1002,0.4,3,3.8,60,1,0,1,0,1
33,30,10,1009,0.0,5,11.2,35,0,0,0,0,0
23,16,11,1016,0.0,5,10.1,40,0,0,0,0,0
28,27,12,1010,0.0,4,10.7,34,0,0,0,0,0
32,29,12,1009,0.0,3,11.2,45,0,0,0,0,0
25,53,7,1014,0.0,5,9.7,43,0,0,0,0,0
24,82,20,1005,0.3,3,3.8,50,0,0,0,0,1
25,58,8,1013,0.133333333333333,3,9.6,50,1,1,0,0,0
23,51,8,1014,0.0,4,9.8,45,0,0,0,0,0
25,46,8,1013,0.0,5,9.7,42,0,0,0,0,0
24,83,16,1003,0.0666666666666666,3,3.8,50,0,0,0,0,1
22,36,4,1014,0.0,5,10.7,32,0,0,0,0,0
